query	nct_id	brief_title	overall_status	conditions	phases
visfatin	NCT03214822	Human-derived Human Milk Fortifiers (H2MF), Gut Microbiota and Oxidative Stress in Premature Infants	COMPLETED	Very Low Birth Weight Baby; Premature Birth; Microbial Colonization; Oxidative Stress	NA
visfatin	NCT05968469	The Effects of Aerobic Exercise in Patients With Ankylosing Spondylitis	COMPLETED	Ankylosing Spondylitis; Aerobic Exercise; Disease Activity	NA
visfatin	NCT05814458	The Efficiency of Transcranial Direct Current Stimulation in the Treatment of Anorexia Nervosa	ACTIVE_NOT_RECRUITING	Anorexia Nervosa	NA
visfatin	NCT05652972	Effect of KETOgenic Diet on Metabolism, Inflammation, Nutrition Deficiencies and OXidative Stress in Women With Overweight	UNKNOWN	Overweight and Obesity	NA
visfatin	NCT05093088	Effect of Circadian Rhythm on Brain NAD Measured by Phosphorus Magnetic Resonance Spectroscopy at 7 Tesla	UNKNOWN	Circadian Rhythm	NA
visfatin	NCT03921879	Safety and Efficacy of OT-82 in Participants With Relapsed or Refractory Lymphoma	UNKNOWN	Lymphoma; Lymphoma, Non-Hodgkin; Lymphoma, B-Cell; Lymphoma, T-Cell; Lymphoma, Follicular; Lymphoma, Peripheral T-Cell; Lymphoma, Hodgkin	PHASE1
visfatin	NCT07232836	Cytokines, Neuroplasticity Modulators, and Biomarkers in Spinal Canal Stenosis and Endoscopic Decompression	NOT_YET_RECRUITING	Spinal Stenosis; Ligamentum Flavum Hypertrophy	NA
visfatin	NCT04528693	The Effect of 12-week Circuit Training on Insulin Sensitivity and Endothelial Function in Women With Insulin Resistance	COMPLETED	Insulin Resistance	NA
visfatin	NCT05069324	PegvisOMant and the Immune SystEm (PROMISE)	COMPLETED	Acromegaly	NA
visfatin	NCT05063383	Analysis of Clinical Characteristics and Study of Diagnostic Markers in Patients with Polycystic Ovary Syndrome	UNKNOWN	Polycystic Ovary Syndrome	NA
