gene	proxy_call	decision_reason	primary_blocker	genetics_ready_score	module_state_score	perturbation_score	modality_penalty	proper_coloc_or_mr_feasible_this_run	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	gwas_catalog_trait_count	gwas_catalog_min_p	gtex_n_relevant_tissues_with_significant_cis_eqtl	gtex_relevant_tissues_with_significant_cis_eqtl	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_positive_nominal	strict_core_covariate_surviving_disease_count	non_ibd_retained_positive_disease_count	residual_gate_priority_score	geneformer_support_contexts	foundation_real_perturbation_alignment_call	foundation_rescue_recommendation	direct_perturbation_support_binary	perturbation_contradicted_or_do_not_promote	wave23_route_calls	wave23_restoration_call	wave23_restoration_reason	wave23_metabolite_calls	wave24_l1000_target_rows	coloc_mr_blocker	mechanism_note	overall_proxy_score
PPIF	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.0794098483837952	0.7293829927625533	False	0	1	5.0	0			0	False					0			4.5
PSMA5	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	-0.1820091427843166	0.6669236814806572	False	0	1	4.0	0			0	False					0			4.5
SBNO2	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.3898123533746496	0.3337161519905203	False	0	1	5.0	0			0	False					0			4.5
SMCO4	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	-0.9152482067315876	0.3027646120706504	False	0	1	5.0	0			0	False					0			4.5
SUB1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0303632231526425	0.8461992617464025	False	0	1	3.0	0			0	False					0			4.5
IFITM2	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.0	-1.6	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.5240543955909676	0.2031260631187718	False	0	2	8.0	2	model_contradicted_by_gse162463_screen	do_not_promote	0	True					0			4.4
PSME1	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.0	-1.6	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2037368565985371	0.3993275020823	False	0	2	7.0	2	no_rescue	do_not_promote	0	True					0			4.4
IFI30	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	1.0	3.0	0.2	0.0	False	1	multiple sclerosis	0	0		0		3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.21016237009791	0.379946954952182	False	0	0	2.0	1	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	0	False	NO_GO				0			4.2
COL4A1	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.0	-1.8	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1822153154682535	0.8835701022678253	False	1	1	12.0	1	no_rescue	do_not_promote	0	True					0			4.2
MPHOSPH6	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.0	-1.8	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.5952492354373149	0.1685973390358947	False	1	1	11.0	1	no_rescue	do_not_promote	0	True					0			4.2
HLA-DMB	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.2	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.1259803949746825	0.6648851015588776	False	0	0	2.0	1	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	0	False					0			4.2
FMNL2	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.5	-1.4	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.4116873433440275	0.0323812070948891	True	0	1	6.0	3	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			4.1
PDPN	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.0	-2.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1646831166015037	0.49717795424805	False	1	1	11.0	0	no_rescue	do_not_promote	0	True					0			4.0
SEC61B	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.0	-1.0	0.0	False	0		0	0		0		3	0	Sjogren syndrome;psoriasis;ulcerative colitis	0.0379228326077143	0.8814268776848122	False	1	1	8.0	5	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			4.0
AP2B1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1143865331231861	0.3967725673770887	False	0	0	0.0	0			0	False					0			4.0
ASPM	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	-1.3638286692250996	0.2047101795475818	False	0	0	1.0	0			0	False					0			4.0
CASP8	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.3627815685608038	0.0737162362572369	False	0	0	1.0	0			0	False					0			4.0
CDC42SE1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;type 1 diabetes mellitus	-0.046012389601886	0.7441873395563302	False	0	2	6.0	0			0	False					0			4.0
DDX39A	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2536254050302382	0.2501673335954121	False	0	0	0.0	0			0	False					0			4.0
MOB3B	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0276495030161427	0.9558863220247624	False	0	0	2.0	0			0	False					0			4.0
NDUFA11	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		3	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus	0.2441454867594998	0.1335462695173637	False	0	2	6.0	0			0	False					0			4.0
PKM	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.2079528837975353	0.3934173353018323	False	0	0	2.0	0			0	False					0			4.0
S100A11	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1429402669372077	0.5904902998605951	False	0	0	2.0	0			0	False					0			4.0
SLC25A22	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.6985123452763329	0.0770558522970201	False	0	0	0.0	0			0	False					0			4.0
SNRPG	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.0	0.0	0.0	False	0		0	0		0		3	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus	0.3077941475307817	0.1809249646615436	False	0	2	6.0	0			0	False					0			4.0
PDLIM7	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.5	-1.8	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.3031114239445287	0.4681143272853248	False	1	0	9.0	1	no_rescue	do_not_promote	0	True					0			3.7
PTPRE	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.5	-1.8	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2158191727655953	0.5499680359747707	False	1	0	9.0	1	no_rescue	do_not_promote	0	True					0			3.7
MTHFD2	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.0	-1.4	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0461599204982174	0.8145219094018459	False	0	2	8.0	3	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			3.6
DAP	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-1.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	0.3933456450044126	0.0080691967127082	True	0	1	6.0	7	model_contradicted_by_gse162463_screen	do_not_promote	0	True					0			3.5
PPIB	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-1.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.3697988200867144	0.0770967095708424	False	1	0	8.0	6	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			3.5
ARPC5	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	0.1591591141179691	0.2177922488849154	False	0	1	5.0	0			0	False					0			3.5
CXCL1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.2680322005771751	0.1506253392240219	False	0	1	5.0	0			0	False					0			3.5
CXCL2	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.5504440262199104	0.2523563033377436	False	0	1	5.0	0			0	False					0			3.5
CXCL3	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.004094684426982	0.993312536598802	False	0	1	5.0	0			0	False					0			3.5
CYTOR	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis			False	0	1	5.0	0			0	False					0			3.5
LCN2	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.5023389988968477	0.6231471760280782	False	0	1	5.0	0			0	False					0			3.5
LYZ	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0562800383572401	0.8529867596187362	False	0	1	4.0	0			0	False					0			3.5
OLFM4	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis			False	0	1	5.0	0			0	False					0			3.5
RAB10	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0127326088185011	0.9341460586882564	False	0	1	5.0	0			0	False					0			3.5
REG3A	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis			False	0	1	3.0	0			0	False					0			3.5
S100A8	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-2.8735647302284484	0.0618526869677346	False	0	1	5.0	0			0	False					0			3.5
S100A9	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-1.408029161012294	0.2499891152292659	False	0	1	5.0	0			0	False					0			3.5
SCD	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.3699574700771606	0.1572805657312676	False	0	1	5.0	0			0	False					0			3.5
TTYH3	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	0.3792362363776007	0.1845335127721597	False	0	1	5.0	0			0	False					0			3.5
TASL	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	4.25	1.0	-1.8	0.0	False	2	RA;SLE	2	1	5e-10	4	Whole_Blood;Skin_Sun_Exposed_Lower_leg;Thyroid;Brain_Cortex	1	0	Sjogren syndrome			False	0	0	0.0	1	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True		NO_GO	Not a restoration-first target in this scout: locally justified endolysosomal comparator, but not a restoration target and genetics breadth is limited.		0	disease genetics is limited to fewer than four diseases at score>=0.5; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader	SLC15A4 adaptor, also known as CXorf21; X-linked locus; SLE/RA locus evidence but limited breadth	3.45
CASP4	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.0	-1.6	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.2066862758954002	0.4927047679399916	False	0	2	8.0	2	no_rescue	do_not_promote	0	True					0			3.4
CXCL8	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.0	-1.8	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.0879956974423397	0.8090528791592078	False	1	1	11.0	1	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			3.2
TNFAIP8L1	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.0	-1.8	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.4563149724166724	0.0085624242089706	True	0	0	2.0	1	no_rescue	do_not_promote	0	True					0			3.2
REG1A	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	5.0	-2.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis			False	1	1	13.0	0	no_rescue	do_not_promote	0	True					0			3.0
SNX10	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.0	-1.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.712408223548989	0.0127398445881719	True	0	0	4.0	8	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			3.0
FFAR2	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.0	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-0.2826334061654503	0.7481241345994041	False	0	0	0.0	0			0	False	NO_GO				0			3.0
HSP90B1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.0	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-0.4248553428823154	0.0451922162426832	False	0	0	-1.0	0			0	False					0			3.0
IGHG1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.0	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;Sjogren syndrome;ulcerative colitis			False	0	0	2.0	0			0	False					0			3.0
GSK3B	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	1.0	1.0	2.0	1.0	False	0		0	0		9	Whole_Blood;Colon_Sigmoid;Colon_Transverse;Small_Intestine_Terminal_Ileum;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Brain_Cortex;Cells_Cultured_fibroblasts	1	0	Crohn disease	-0.1319846584560178	0.4753109636188744	False	0	0	0.0	0	real_perturbation_support_but_geneformer_not_rescued	use_real_perturbation_not_foundation_model	1	False					0	no disease genetic locus evidence in supplied OT credible-set rows; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; pleiotropic kinase with no candidate-specific autoimmune genetics in supplied rows	pleiotropic kinase/controller candidate; no target-level autoimmune genetics in supplied credible-set rows	3.0
RFX5	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	1.0	0.0	2.0	0.0	False	0		0	0		5	Whole_Blood;Skin_Not_Sun_Exposed_Suprapubic;Thyroid;Brain_Frontal_Cortex_BA9;Cells_Cultured_fibroblasts	1	1	type 1 diabetes mellitus	0.0043302351443461	0.9786885809467264	False	0	0	0.0	0	real_perturbation_support_but_geneformer_not_rescued	use_real_perturbation_not_foundation_model	1	False					0	no disease genetic locus evidence in supplied OT credible-set rows; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; candidate is close to HLA-II state biology but lacks target-level disease genetics	MHC-II enhanceosome factor; perturbation-relevant HLA-II controller but weak disease genetics	3.0
ACSL3	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-1.6	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.2210563122194138	0.2754311664874719	False	1	0	10.0	2	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			2.9
CHI3L1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-1.6	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	2.006853151074319	0.0046126032857275	True	0	1	7.0	2	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			2.9
TNFAIP8	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-1.6	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.2353293345774378	0.5204890692348256	False	1	0	8.0	2	no_rescue	do_not_promote	0	True					0			2.9
MMP7	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-1.8	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.836134503047833	0.1901690746366625	False	0	1	4.0	1	no_rescue	do_not_promote	0	True					0			2.7
TGM2	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-1.8	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-0.9454639666769412	0.3323926040170903	False	1	0	6.0	1	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			2.7
RPL17	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.0	-1.4	0.0	False	0		0	0		0		1	0	type 1 diabetes mellitus	0.3030373225065492	0.0476747931921886	True	1	1	12.0	3	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			2.6
CTSB	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	1.0	2.5	-1.0	0.0	False	1	type 1 diabetes mellitus	0	0		0		2	0	psoriasis;ulcerative colitis	-0.0599954640789519	0.8140537383462653	False	0	1	4.0	7	model_contradicted_by_gse162463_screen	do_not_promote	0	True					1			2.5
IL7R	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	4.5	-2.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.6536992297096775	0.5724603142052797	False	1	0	9.0	0	no_rescue	do_not_promote	0	True					0			2.5
TYK2	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	2.5	0.0	0.0	False	0		0	0		0		2	0	psoriasis;type 1 diabetes mellitus	-0.0976695299908261	0.5321339034622258	False	0	1	3.0	0			0	False		NO_GO	Not a restoration-first target in this scout: not a restoration target and explicitly excluded as generic JAK/IFN without a new modality/population delta.		0			2.5
