evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_1	axis_04_lipid_lysosomal	type 1 diabetes mellitus	pancreatic acinar cell	single_cell_or_single_nucleus_h5ad	t1d_acinar_cell	delta=0.2053; hedges_g=2.003; support=supportive	module=lipid_loader_repair; p=0.0212; fdr=0.09158; supportive	0.021198453	axis-local FDR=0.091577315	case=5; control=18	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_type_1_diabetes_mellitus_2	axis_04_lipid_lysosomal	type 1 diabetes mellitus	pancreatic ductal cell	single_cell_or_single_nucleus_h5ad	t1d_ductal_cell	delta=0.2112; hedges_g=1.455; support=trend	module=lysosomal_apc; p=0.06568; fdr=0.1701; trend	0.06568023	axis-local FDR=0.17009107	case=5; control=19	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_ulcerative_colitis_1	axis_04_lipid_lysosomal	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.2479; hedges_g=1.66; support=supportive	module=lysosomal_apc; p=0.01493; fdr=0.08718; supportive	0.014934283	axis-local FDR=0.087183925	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_ulcerative_colitis_2	axis_04_lipid_lysosomal	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.1202; hedges_g=0.9067; support=positive_null	module=lipid_loader_repair; p=0.1213; fdr=0.2674; positive_null	0.1213084	axis-local FDR=0.26737363	case=6; control=6	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_05_complement_innate_Crohn_disease_12	axis_05_complement_innate	Crohn disease	intestinal mucosa	literature_review	IBD has innate effector/complement activity, but V8 MS proximity is stronger on microbiome and IFN/APC axes.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Not upgraded without disease-specific complement statistics.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_05_complement_innate_Graves_disease_42	axis_05_complement_innate	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_Hashimoto_thyroiditis_41	axis_05_complement_innate	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_Sjogren_syndrome_40	axis_05_complement_innate	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_ankylosing_spondylitis_44	axis_05_complement_innate	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_celiac_disease_43	axis_05_complement_innate	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_myasthenia_gravis_14	axis_05_complement_innate	myasthenia gravis	neuromuscular junction	approved_drug_mechanism/literature	Complement blockade is clinically validated in AChR-positive generalized myasthenia gravis, indicating a strong complement-effector disease axis.	near	approved C5 inhibition class in MG		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation	near	Near to MS only on complement effector biology; adaptive trigger and tissue target differ sharply.	https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761108s031lbl.pdf
V8_axis_05_complement_innate_psoriasis_38	axis_05_complement_innate	psoriasis	none	not_yet_populated	No V8 evidence row populated yet for psoriasis on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_rheumatoid_arthritis_11	axis_05_complement_innate	rheumatoid arthritis	synovium/blood	literature_review	Complement contributes to RA synovitis, but RA's project-local IFN/APC blood response architecture diverges from MS.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Synovium may be closer than blood; compartment-specific evidence needed.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_05_complement_innate_systemic_lupus_erythematosus_10	axis_05_complement_innate	systemic lupus erythematosus	blood/kidney/immune-complex tissue	literature_review	Complement activation is a core SLE effector and biomarker axis; compare with complement/innate effector activity in MS lesions and neuroinflammation.	near	qualitative strong disease-mechanism evidence		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		mechanistic/literature	near	Near on complement/innate-effector axis only; SLE is not globally near MS.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_05_complement_innate_type_1_diabetes_mellitus_39	axis_05_complement_innate	type 1 diabetes mellitus	none	not_yet_populated	No V8 evidence row populated yet for type 1 diabetes mellitus on axis_05_complement_innate.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_05_complement_innate_ulcerative_colitis_13	axis_05_complement_innate	ulcerative colitis	intestinal mucosa	literature_review	IBD has innate effector/complement activity, but V8 MS proximity is stronger on microbiome and IFN/APC axes.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Not upgraded without disease-specific complement statistics.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9953581/
V8_axis_06_tcell_adaptive_repertoire_Crohn_disease_2	axis_06_tcell_adaptive_repertoire	Crohn disease	intestinal mucosa	literature_review/approved_drug_mechanism	Crohn disease has strong Th1/Th17 and IL-23 biology, but clinical IL-17 blockade can worsen IBD, separating it from simple MS/EAE Th17 transfer.	intermediate	qualitative therapy-class evidence		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation/literature	intermediate	Intermediate because adaptive axis overlaps but intervention direction differs by tissue/barrier context.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_Graves_disease_26	axis_06_tcell_adaptive_repertoire	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_Hashimoto_thyroiditis_25	axis_06_tcell_adaptive_repertoire	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_Sjogren_syndrome_24	axis_06_tcell_adaptive_repertoire	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_ankylosing_spondylitis_29	axis_06_tcell_adaptive_repertoire	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_celiac_disease_27	axis_06_tcell_adaptive_repertoire	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_myasthenia_gravis_28	axis_06_tcell_adaptive_repertoire	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_psoriasis_1	axis_06_tcell_adaptive_repertoire	psoriasis	skin/blood	literature_review/approved_drug_mechanism	IL-23/Th17 biology is central in psoriasis and overlaps with MS/EAE adaptive immune mechanisms, although IL-17 blockade has not translated cleanly to MS.	near	approved IL-17/IL-23 axis drugs in psoriasis; qualitative shared Th17 axis		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation/literature	near	Near for Th17/adaptive axis, not for CNS tissue injury or treatment-response architecture.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_rheumatoid_arthritis_4	axis_06_tcell_adaptive_repertoire	rheumatoid arthritis	synovium/blood	literature_review	RA has T-cell involvement but V7 treatment-response evidence argues against a shared blood APC response rule with MS.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Compartment likely matters; synovial adaptive states are not captured by V7 blood failures.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_systemic_lupus_erythematosus_23	axis_06_tcell_adaptive_repertoire	systemic lupus erythematosus	none	not_yet_populated	No V8 evidence row populated yet for systemic lupus erythematosus on axis_06_tcell_adaptive_repertoire.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_06_tcell_adaptive_repertoire_type_1_diabetes_mellitus_5	axis_06_tcell_adaptive_repertoire	type 1 diabetes mellitus	pancreatic islets/blood	literature_review	T1D and MS are both organ-specific autoimmune diseases with strong HLA/T-cell antigen specificity themes.	near	qualitative HLA/T-cell organ-specific autoimmunity		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		genetic/literature	near	Near on adaptive specificity, not on microbiome age-window or tissue repair biology.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_06_tcell_adaptive_repertoire_ulcerative_colitis_3	axis_06_tcell_adaptive_repertoire	ulcerative colitis	intestinal mucosa	literature_review/approved_drug_mechanism	UC shares IL-23/Th17 pathway involvement but differs from MS in tissue and therapy-transfer behavior.	intermediate	qualitative therapy-class evidence		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		clinical_perturbation/literature	intermediate	Intermediate rather than near because barrier-tissue constraints dominate intervention consequences.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11054058/
V8_axis_07_treatment_GSE16879_Crohn_disease	axis_07_treatment_response	Crohn disease	intestinal mucosa	locked_validation_or_followon	GSE16879	AUC=0.754; hedges_g=0.985; feature=-delta_IFN_APC	locked V7 pass; n=60	0.00036466563	locked V7 thresholds	60	treatment_perturbation	near	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE12051_rheumatoid_arthritis	axis_07_treatment_response	rheumatoid arthritis	blood	locked_validation_or_followon	GSE12051	AUC=0.382; hedges_g=-0.339; feature=baseline_IFN_APC	locked V7 fail; n=44	0.38496482	locked V7 thresholds	44	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE138746_CD14_rheumatoid_arthritis	axis_07_treatment_response	rheumatoid arthritis	blood	locked_validation_or_followon	GSE138746_CD14	AUC=0.485; hedges_g=-0.099; feature=baseline_IFN_APC	locked V7 fail; n=78	0.65471517	locked V7 thresholds	78	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE8350_rheumatoid_arthritis	axis_07_treatment_response	rheumatoid arthritis	blood	locked_validation_or_followon	GSE8350	AUC=0.450; hedges_g=-0.356; feature=-delta_IFN_APC	locked V7 fail; n=18	0.44296429	locked V7 thresholds	18	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE12251_ulcerative_colitis	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	locked_validation_or_followon	GSE12251	AUC=0.250; hedges_g=-1.043; feature=baseline_IFN_APC	locked V7 fail; n=22	0.019474874	locked V7 thresholds	22	treatment_perturbation	far	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE16879_ulcerative_colitis	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	locked_validation_or_followon	GSE16879	AUC=0.754; hedges_g=0.985; feature=-delta_IFN_APC	locked V7 pass; n=60	0.00036466563	locked V7 thresholds	60	treatment_perturbation	near	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE73661_IFX_ulcerative_colitis	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	locked_validation_or_followon	GSE73661_IFX	AUC=0.825; hedges_g=1.390; feature=-delta_IFN_APC	locked V7 pass; n=23	0.012650764	locked V7 thresholds	23	treatment_perturbation	near	Treatment-response architecture only; V7 killed cross-disease baseline fallback.	analysis/v7_validation/v7_validation_summary.tsv
V8_axis_07_treatment_GSE73661_VDZ_UC	axis_07_treatment_response	ulcerative colitis	intestinal mucosa	exploratory_treatment_perturbation	GSE73661_VDZ_W6_exploratory	AUC=0.889; hedges_g=1.286; feature=-delta_IFN_APC	exploratory Class C; not locked V7 validation	0.1622	not counted in V7 locked validation	24	treatment_perturbation	intermediate	Suggests mucosal healing/plasticity rather than anti-TNF specificity.	analysis/v7_hyp_v7_001_specificity/gse73661_vdz_w6_result.json
V8_axis_08_tissue_repair_resolution_Crohn_disease_6	axis_08_tissue_repair_resolution	Crohn disease	intestinal mucosa	local_treatment_response/literature	V7 HYP_V7_001: early intestinal IFN/APC downshift tracks response and likely mucosal healing/plasticity; repair-state dynamics are therefore near MS's repair/resolution question at the level of monitoring architecture.	near	GSE16879 AUC 0.754, Hedges g 0.985 for paired early IFN/APC downshift		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		treatment_perturbation	near	Near on response-monitoring/repair dynamics, not on remyelination biology.	VALIDATION_LEDGER.md
V8_axis_08_tissue_repair_resolution_Graves_disease_34	axis_08_tissue_repair_resolution	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_Hashimoto_thyroiditis_33	axis_08_tissue_repair_resolution	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_Sjogren_syndrome_32	axis_08_tissue_repair_resolution	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_ankylosing_spondylitis_37	axis_08_tissue_repair_resolution	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_celiac_disease_35	axis_08_tissue_repair_resolution	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_myasthenia_gravis_36	axis_08_tissue_repair_resolution	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_psoriasis_9	axis_08_tissue_repair_resolution	psoriasis	skin	literature_review	Barrier-tissue repair and resolution are central in psoriasis, but no V8-local response-monitoring evidence aligns it with MS/IBD repair architecture.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		literature	intermediate	Needs psoriasis biologic response transcriptomics to upgrade.	
V8_axis_08_tissue_repair_resolution_rheumatoid_arthritis_8	axis_08_tissue_repair_resolution	rheumatoid arthritis	blood/synovium	local_treatment_response	V7 RA anti-TNF blood cohorts fail the early IFN/APC downshift response-monitoring rule that works in IBD mucosa.	far	GSE8350 AUC 0.450; GSE12051 AUC 0.382; GSE138746_CD14 AUC 0.485		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		treatment_perturbation	far	Far for blood response-monitoring architecture; RA synovial tissue repair remains less tested.	VALIDATION_LEDGER.md
V8_axis_08_tissue_repair_resolution_systemic_lupus_erythematosus_30	axis_08_tissue_repair_resolution	systemic lupus erythematosus	none	not_yet_populated	No V8 evidence row populated yet for systemic lupus erythematosus on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_type_1_diabetes_mellitus_31	axis_08_tissue_repair_resolution	type 1 diabetes mellitus	none	not_yet_populated	No V8 evidence row populated yet for type 1 diabetes mellitus on axis_08_tissue_repair_resolution.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_08_tissue_repair_resolution_ulcerative_colitis_7	axis_08_tissue_repair_resolution	ulcerative colitis	intestinal mucosa	local_treatment_response/literature	V7 HYP_V7_001: UC infliximab and vedolizumab early mucosal IFN/APC downshift tracks response, interpreted as mucosal healing/plasticity rather than pretreatment stratification.	near	GSE73661_IFX AUC 0.825, Hedges g 1.390; vedolizumab exploratory AUC 0.889, Hedges g 1.286		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		treatment_perturbation	near	UC baseline prediction is contradictory; dynamic repair monitoring is the near placement.	knowledge/hypotheses/HYP_V7_001_IBD_IFN_APC_DOWNSHIFT.md
V8_axis_09_sex_hormonal_pregnancy_Crohn_disease_17	axis_09_sex_hormonal_pregnancy	Crohn disease	none	not_yet_populated	No V8-local pregnancy/natural-experiment evidence consolidated for Crohn.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_Graves_disease_49	axis_09_sex_hormonal_pregnancy	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_Hashimoto_thyroiditis_48	axis_09_sex_hormonal_pregnancy	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_Sjogren_syndrome_47	axis_09_sex_hormonal_pregnancy	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_ankylosing_spondylitis_52	axis_09_sex_hormonal_pregnancy	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_celiac_disease_50	axis_09_sex_hormonal_pregnancy	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_myasthenia_gravis_51	axis_09_sex_hormonal_pregnancy	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_psoriasis_45	axis_09_sex_hormonal_pregnancy	psoriasis	none	not_yet_populated	No V8 evidence row populated yet for psoriasis on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_rheumatoid_arthritis_15	axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	blood	local_pregnancy_transcriptomics	GSE235508 seropositive RA late-pregnancy trough and postpartum rebound in IFN/APC, HLA-II-only, MIF/CD74 receptor state, and lysosomal/APC modules.	near	see results/pregnancy_dimension/gse235508_timecourse/timepoint_contrasts.tsv		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		natural_experiment	near	Near on pregnancy modulation kinetics despite RA being far on blood treatment-response IFN/APC.	results/pregnancy_dimension/gse235508_timecourse/REPORT.md
V8_axis_09_sex_hormonal_pregnancy_systemic_lupus_erythematosus_16	axis_09_sex_hormonal_pregnancy	systemic lupus erythematosus	blood	local_pregnancy_transcriptomics	GSE108497 and GSE235508 show SLE pregnancy/postpartum APC-axis dynamics, including HLA-II rebound or monocyte-CD64 decoupling depending on outcome/context.	near	GSE108497 uncomplicated SLE postpartum HLA-II rebound delta 0.4525, Hedges g 0.597, p 0.0458 in V5 notebook		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		natural_experiment	near	Outcome-specific and not a simple remission axis.	results/pregnancy_dimension/gse108497_sle/REPORT.md
V8_axis_09_sex_hormonal_pregnancy_type_1_diabetes_mellitus_46	axis_09_sex_hormonal_pregnancy	type 1 diabetes mellitus	none	not_yet_populated	No V8 evidence row populated yet for type 1 diabetes mellitus on axis_09_sex_hormonal_pregnancy.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_09_sex_hormonal_pregnancy_ulcerative_colitis_18	axis_09_sex_hormonal_pregnancy	ulcerative colitis	none	not_yet_populated	No V8-local pregnancy/natural-experiment evidence consolidated for UC.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_Crohn_disease_21	axis_10_infectious_trigger	Crohn disease	intestinal mucosa	literature_review	IBD has microbial-trigger/barrier-immune mechanisms, but they are not the same as EBV-centered MS risk architecture.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		microbial_trigger	intermediate	IBD is near on microbiome, not necessarily near on infectious-trigger specificity.	https://www.nature.com/articles/s41586-019-1237-9
V8_axis_10_infectious_trigger_Graves_disease_57	axis_10_infectious_trigger	Graves disease	none	not_yet_populated	No V8 evidence row populated yet for Graves disease on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_Hashimoto_thyroiditis_56	axis_10_infectious_trigger	Hashimoto thyroiditis	none	not_yet_populated	No V8 evidence row populated yet for Hashimoto thyroiditis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_Sjogren_syndrome_55	axis_10_infectious_trigger	Sjogren syndrome	none	not_yet_populated	No V8 evidence row populated yet for Sjogren syndrome on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_ankylosing_spondylitis_60	axis_10_infectious_trigger	ankylosing spondylitis	none	not_yet_populated	No V8 evidence row populated yet for ankylosing spondylitis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_celiac_disease_58	axis_10_infectious_trigger	celiac disease	none	not_yet_populated	No V8 evidence row populated yet for celiac disease on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_myasthenia_gravis_59	axis_10_infectious_trigger	myasthenia gravis	none	not_yet_populated	No V8 evidence row populated yet for myasthenia gravis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_psoriasis_53	axis_10_infectious_trigger	psoriasis	none	not_yet_populated	No V8 evidence row populated yet for psoriasis on axis_10_infectious_trigger.	unresolved			literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		none	unresolved	Unresolved, not far.	
V8_axis_10_infectious_trigger_rheumatoid_arthritis_20	axis_10_infectious_trigger	rheumatoid arthritis	mucosa/joint/systemic immune	literature_review	RA has infectious and mucosal-trigger hypotheses, but no MS-like EBV near-necessity signal.	intermediate	qualitative		literature/local-evidence placement under MAP_METHODOLOGY_V8; no quantitative matrix correction		infectious_association	intermediate	Intermediate because infectious-trigger architecture differs from MS.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10136495/
